algorithm,variant,found,time_s,peak_memory_kb,expansions,status,explored_count,visited_count,path_length
DFS,tree-search,True,0.0004504999378696084,1.796875,23,found,23,,23
DFS,graph-search,True,0.0002809999277815223,5.7265625,31,found,31,35.0,19
